2207	1604
2191	6302
2196	1332
2198	1333
2303	1339
2299	1338
2301	1341
2263	1728
2264	1732
2265	1732
2277	1639
2229	1606
2230	1606
2309	1905
2310	1905
2311	1906
2312	1906
2313	1907
2314	1907
2315	6303
2316	6303
2219	4409
2227	1605
2228	1605
2245	1708
2247	1709
2225	4451
2275	1311
2276	1312
2305	1643
2308	1644
2335	6201
2336	6201
2269	1668
2270	1310
2337	6203
2338	6203
2339	6204
2340	6204
2341	6206
2342	6206
2343	1908
2344	1908
2345	1911
2346	1911
2347	1912
2348	1912
2218	4409
2220	1720
2222	1721
2226	4451
2349	1913
2350	1913
2351	1914
2352	1914
2244	1708
2246	1709
2251	2250
2252	1729
2353	1915
2354	1915
2236	1608
2237	1608
2238	4408
2239	1705
2253	1729
2254	1733
2255	1725
2258	1724
2242	1706
2268	1309
2281	1315
2286	13094
2259	1724
2260	1743
2261	1743
2262	1728
2288	1661
2290	13146
2295	1619
2298	1338
2216	4407
2217	4407
2221	1720
2223	1721
2267	1309
2278	1312
2282	1315
2283	1316
2256	1733
2257	1725
2280	1314
2292	1671
2284	1316
2287	1661
2291	1671
2294	1619
2307	1644
2240	4408
2241	1705
2243	1706
2248	1713
2249	1713
2250	1726
2271	1310
2274	1311
2289	13146
2296	1337
2300	1341
2306	1643
2214	1628
2272	1651
2302	1339
2279	1314
2285	13094
2297	1337
