1035	3211
1036	3211
1234	3501
1033	3523
1235	3501
1237	4014
1238	4014
1334	3412
1636	2002
1536	1506
1637	2002
1734	2001
1434	3412
1537	1506
1029	3519
1031	3607
1032	3607
1024	3422
1025	3422
1027	3523
1028	3519
1744	3212
1745	4002
1746	4010
1747	3622
1748	3623
1735	2001
1749	3515
1750	3420
1751	3503
1738	3622
1739	3623
1740	3515
1741	4010
1742	4002
1756	3219
1768	2064
1771	3425
1772	3426
1777	2084
1778	2084
1779	4004
1782	2099
1753	3219
1754	3222
1755	3410
1759	4004
1764	1598
1774	3426
1780	2063
1781	2093
1757	3222
1758	3410
1761	2064
1752	3212
1762	3420
1765	3638
1766	3637
1767	3503
1769	3638
1770	3637
1773	3425
1776	2093
1783	2099
1791	3416
1792	3605
1793	4003
1794	4001
1795	4005
1799	3511
1801	3510
1802	3511
1803	3521
1785	2063
1804	3521
1805	3514
1806	3514
1809	3635
1810	4003
1811	4005
1812	3206
1813	3206
1807	3636
1808	3636
1814	3207
1818	3205
1800	3510
1815	3207
1816	3624
1817	3624
1786	1598
1796	4009
1797	4009
1798	4001
1787	3605
1788	3427
1789	3416
1790	3427
1837	3414
1839	2088
1840	2088
1841	3415
1843	3635
1845	3423
1846	2089
1847	2009
1832	3614
1833	3614
1848	1590
1849	3608
1819	3423
1823	1668
1842	3415
1844	3205
1824	2004
1825	2004
1826	2005
1827	2005
1828	2008
1820	2089
1821	2009
1822	1590
1829	1597
1830	1597
1831	2008
1834	3413
1835	3413
1836	3414
1855	3613
1856	3613
1857	3609
1858	3609
1859	3610
1860	3610
1871	3406
1872	3406
1873	2006
1874	2006
1853	4015
1880	3203
1881	3204
1882	3204
1883	3208
1884	3208
1885	3209
1886	3209
1887	3210
1888	3210
1861	3611
1862	3611
1863	3626
1864	3626
1889	3419
1875	3201
1876	3201
1877	3202
1878	3202
1879	3203
1865	3504
1866	3504
1867	3404
1868	3404
1869	3405
1850	3608
1851	4013
1852	4013
1854	4015
1870	3405
1897	2083
1898	1636
1899	1636
1900	2081
1901	2081
1902	2062
1916	2003
1917	3619
1918	3619
1919	3509
1903	2062
1904	2007
1905	2007
1920	3505
1921	2003
1906	2078
1908	2078
1909	3520
1910	3522
1890	3419
1907	3520
1911	2076
1912	3522
1913	2076
1892	2079
1914	3505
1915	3509
1893	2079
1894	2096
1895	2096
1896	2083
1932	3508
1933	3508
1934	3403
1935	3403
1938	3421
1943	4011
1948	1639
1950	4012
1951	4018
1952	4019
1949	4016
1953	4016
1954	2085
1955	2085
1956	3401
